gpuaddr,useraddr,size,id,flags,type,usage,sglen
0x8ca7a000,0x8ca7a000,4096,49736,----pY,gpumem,texture,1
0x8ca7c000,0x8ca7c000,4096,49735,----pY,gpumem,texture,1
0x8ca7e000,0x8ca7e000,4096,49734,----pY,gpumem,texture,1
0x8cac0000,0x8cac0000,4096,49733,----pY,gpumem,texture,1
0x8cac2000,0x8cac2000,4096,49732,----pY,gpumem,texture,1
0x8cac4000,0x8cac4000,4096,49731,----pY,gpumem,texture,1
0x8cac6000,0x8cac6000,4096,49730,----pY,gpumem,texture,1
0x8cac8000,0x8cac8000,4096,49729,----pY,gpumem,texture,1
0x8caca000,0x8caca000,4096,49728,----pY,gpumem,texture,1
0x8cacc000,0x8cacc000,4096,49727,----pY,gpumem,texture,1
0x8cace000,0x8cace000,4096,49726,----pY,gpumem,texture,1
0x8cad0000,0x8cad0000,4096,49725,----pY,gpumem,texture,1
0x8cad2000,0x8cad2000,4096,49724,----pY,gpumem,texture,1
0x8cad4000,0x8cad4000,4096,49723,----pY,gpumem,texture,1
0x8cad6000,0x8cad6000,4096,49722,----pY,gpumem,texture,1
0x8cad8000,0x8cad8000,4096,49721,----pY,gpumem,texture,1
0x8cada000,0x8cada000,4096,49720,----pY,gpumem,texture,1
0x8cadc000,0x8cadc000,4096,49719,----pY,gpumem,texture,1
0x8cade000,0x8cade000,4096,49718,----pY,gpumem,texture,1
0x8cae0000,0x8cae0000,4096,49717,----pY,gpumem,texture,1
0x8cae2000,0x8cae2000,4096,49716,----pY,gpumem,texture,1
0x8cae4000,0x8cae4000,4096,49715,----pY,gpumem,texture,1
0x8cae6000,0x8cae6000,4096,49714,----pY,gpumem,texture,1
0x8cae8000,0x8cae8000,4096,49713,----pY,gpumem,texture,1
0x8caea000,0x8caea000,4096,49712,----pY,gpumem,texture,1
0x8caec000,0x8caec000,4096,49711,----pY,gpumem,texture,1
0x8caee000,0x8caee000,4096,49710,----pY,gpumem,texture,1
0x8caf0000,0x8caf0000,4096,49709,----pY,gpumem,texture,1
0x8caf2000,0x8caf2000,4096,49708,----pY,gpumem,texture,1
0x8caf4000,0x8caf4000,4096,49707,----pY,gpumem,texture,1
0x8caf6000,0x8caf6000,4096,49706,----pY,gpumem,texture,1
0x8caf8000,0x8caf8000,4096,49705,----pY,gpumem,texture,1
0x8cafa000,0x8cafa000,4096,49704,----pY,gpumem,texture,1
0x8cafc000,0x8cafc000,4096,49703,----pY,gpumem,texture,1
0x8cafe000,0x8cafe000,4096,49702,----pY,gpumem,texture,1
0x8cb00000,0x8cb00000,4096,49701,----pY,gpumem,texture,1
0x8cb02000,0x8cb02000,4096,49700,----pY,gpumem,texture,1
0x8cb04000,0x8cb04000,4096,49699,----pY,gpumem,texture,1
0x8cb06000,0x8cb06000,4096,49698,----pY,gpumem,texture,1
0x8cb08000,0x8cb08000,4096,49697,----pY,gpumem,texture,1
0x8cb0a000,0x8cb0a000,4096,49696,----pY,gpumem,texture,1
0x8cb0c000,0x8cb0c000,4096,49695,----pY,gpumem,texture,1
0x8cb0e000,0x8cb0e000,4096,49694,----pY,gpumem,texture,1
0x8cb10000,0x8cb10000,4096,49693,----pY,gpumem,texture,1
0x8cb12000,0x8cb12000,4096,49692,----pY,gpumem,texture,1
0x8cb14000,0x8cb14000,4096,49691,----pY,gpumem,texture,1
0x8cb16000,0x8cb16000,4096,49690,----pY,gpumem,texture,1
0x8cb18000,0x8cb18000,4096,49689,----pY,gpumem,texture,1
0x8cb1a000,0x8cb1a000,4096,49688,----pY,gpumem,texture,1
0x8cb1c000,0x8cb1c000,4096,49687,----pY,gpumem,texture,1
0x8cb1e000,0x8cb1e000,4096,49686,----pY,gpumem,texture,1
0x8cb20000,0x8cb20000,4096,49685,----pY,gpumem,texture,1
0x8cb22000,0x8cb22000,4096,49684,----pY,gpumem,texture,1
0x8cb24000,0x8cb24000,4096,49683,----pY,gpumem,texture,1
0x8cb26000,0x8cb26000,4096,49682,----pY,gpumem,texture,1
0x8cb28000,0x8cb28000,4096,49681,----pY,gpumem,texture,1
0x8cb2a000,0x8cb2a000,4096,49680,----pY,gpumem,texture,1
0x8cb2c000,0x8cb2c000,4096,49679,----pY,gpumem,texture,1
0x8cb2e000,0x8cb2e000,4096,49678,----pY,gpumem,texture,1
0x8cb30000,0x8cb30000,4096,49677,----pY,gpumem,texture,1
0x8cb32000,0x8cb32000,4096,49676,----pY,gpumem,texture,1
0x8cb34000,0x8cb34000,4096,49675,----pY,gpumem,texture,1
0x8cb36000,0x8cb36000,4096,49674,----pY,gpumem,texture,1
0x8cb38000,0x8cb38000,4096,49673,----pY,gpumem,texture,1
0x8cb3a000,0x8cb3a000,4096,49672,----pY,gpumem,texture,1
0x8cb3c000,0x8cb3c000,4096,49671,----pY,gpumem,texture,1
0x8cb3e000,0x8cb3e000,4096,49670,----pY,gpumem,texture,1
0x8cb80000,0x8cb80000,4096,49669,----pY,gpumem,texture,1
0x8cb82000,0x8cb82000,4096,49668,----pY,gpumem,texture,1
0x8cb84000,0x8cb84000,4096,49667,----pY,gpumem,texture,1
0x8cb86000,0x8cb86000,4096,49666,----pY,gpumem,texture,1
0x8cb88000,0x8cb88000,4096,49665,----pY,gpumem,texture,1
0x8cb8a000,0x8cb8a000,4096,49664,----pY,gpumem,texture,1
0x8cb8c000,0x8cb8c000,4096,49663,----pY,gpumem,texture,1
0x8cb8e000,0x8cb8e000,4096,49662,----pY,gpumem,texture,1
0x8cb90000,0x8cb90000,4096,49661,----pY,gpumem,texture,1
0x8cb92000,0x8cb92000,4096,49660,----pY,gpumem,texture,1
0x8cb94000,0x8cb94000,4096,49659,----pY,gpumem,texture,1
0x8cb96000,0x8cb96000,4096,49658,----pY,gpumem,texture,1
0x8cb98000,0x8cb98000,4096,49657,----pY,gpumem,texture,1
0x8cb9a000,0x8cb9a000,4096,49656,----pY,gpumem,texture,1
0x8cb9c000,0x8cb9c000,4096,49655,----pY,gpumem,texture,1
0x8cb9e000,0x8cb9e000,4096,49654,----pY,gpumem,texture,1
0x8cba0000,0x8cba0000,4096,49653,----pY,gpumem,texture,1
0x8cba2000,0x8cba2000,4096,49652,----pY,gpumem,texture,1
0x8cba4000,0x8cba4000,4096,49651,----pY,gpumem,texture,1
0x8cba6000,0x8cba6000,4096,49650,----pY,gpumem,texture,1
0x8cba8000,0x8cba8000,4096,49649,----pY,gpumem,texture,1
0x8cbaa000,0x8cbaa000,4096,49648,----pY,gpumem,texture,1
0x8cbac000,0x8cbac000,4096,49647,----pY,gpumem,texture,1
0x8cbae000,0x8cbae000,4096,49646,----pY,gpumem,texture,1
0x8cbb0000,0x8cbb0000,4096,49645,----pY,gpumem,texture,1
0x8cbb2000,0x8cbb2000,4096,49644,----pY,gpumem,texture,1
